id,text,metadata
58,"Phone: 901-595-4501
Outside the Memphis area, call toll-free: 1-866-278-5833, extension 4501
Email:patientservices@stjude.org","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:54.243308', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Contact Housing and Patient Services', 'super_section': None}"
59,"For many families who travel toSt. Judefor treatment, free housing is available close to campus for up to 4 family members (5 if one family member is 24 months-old or younger).
If your child needs treatment that requires an overnight stay and you live more than 35 miles fromSt. Jude,you may be eligible for housing at one of theSt. Jude-sponsored facilities.
As soon as you get your child’s appointment schedule, call 901-595-4501 or emailreservationrequest@stjude.orgto reserve lodging for your visit. Housing placements are based on length of stay, medical needs, and availability.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:54.243308', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Housing', 'super_section': None}"
60,"All patients who drive toSt. Judefor appointments are reimbursed for mileage. This includes local families who live 35 miles or less fromSt. Jude. The distance from the patient’s home to the hospital is used to calculate the reimbursement amount.St. Judeuses the U.S. government mileage reimbursement rate.
For reimbursement, the appointment must appear in the patient’s medical record.
To request mileage reimbursements:
VisitHousing and Patient Services
Call901-595-4501
Emailpatientservices@stjude.org
For same-day payment of travel reimbursements, visit, call, or email Housing and Patient Services by 11 a.m. If travel reimbursements are submitted after 11 a.m., you will receive payment the following business day by 9 p.m.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:54.243308', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Mileage reimbursement', 'super_section': None}"
61,"St. Judehelps with meal costs for the patient and caregivers through aSt. Judecafeteria meal account.
Meal accounts are activated based on patients’ appointment schedules.The meal account is loaded with $75 per day for the patient and up to two caregivers. Unspent funds roll off each day at midnight. The meal account can be used at Kay Kafe and Common Table for all meals.  Provide the patient’s medical record number to the cashier at check-out.St. Judemeal accounts cannot be used off campus.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/housing-and-patient-services.html', 'retrieved_at': '2025-09-29T19:06:54.243308', 'title': 'Housing and Patient Services - St. Jude Children’s Research Hospital', 'section': 'Meals', 'super_section': None}"
62,Family Commons,"{'source_url': 'https://www.stjude.org/patient-experience/family-commons/learning-your-way-around.html', 'retrieved_at': '2025-09-29T19:06:54.506363', 'title': 'Learning Your Way Around - St. Jude Children’s Research Hospital', 'section': 'Area/Service', 'super_section': None}"
63,"Family Commons is a treatment-free zone open only to patients and families. It offers areas ranging from quiet nooks to lively playgrounds. You can get haircuts, paint pictures, take naps, attend classes, get short-term childcare, or grab snacks.
Family Commons is home to the Linda Hajar Family Resource Center, where families can use computers and take care of personal business needs. The Imagine Academy by Chili’s, Studio 262 Music Room, Housing and Patient Services, and a sacred space are also located in Family Commons.
Find more information about Family Commons in the OurSt. Judepatient and family app.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/learning-your-way-around.html', 'retrieved_at': '2025-09-29T19:06:54.506363', 'title': 'Learning Your Way Around - St. Jude Children’s Research Hospital', 'section': 'What You Need to Know', 'super_section': None}"
64,Second floor of the Patient Care CenterPhone:901-595-5700,"{'source_url': 'https://www.stjude.org/patient-experience/family-commons/learning-your-way-around.html', 'retrieved_at': '2025-09-29T19:06:54.506363', 'title': 'Learning Your Way Around - St. Jude Children’s Research Hospital', 'section': 'Location/Phone', 'super_section': None}"
65,"In the middle of a busy day, Resting Nooks offer a quiet, private place for patients and families. You can check in to a nook to relax between appointments. The 19 nooks offer comfortable furniture, warm blankets, and pillows. Every nook is private, which ensures quiet. Whether you need to relax or recover, the Resting Nooks offer the perfect space for your needs. A digital sign outside of each nook lets you know if the space is available to use.
Resting Nooks are available Monday–Friday, 8 a.m.–5 p.m.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/resting-nooks.html', 'retrieved_at': '2025-09-29T19:06:54.759251', 'title': 'Resting Nooks - St. Jude Children’s Research Hospital', 'section': 'Resting Nooks - St. Jude Children’s Research Hospital', 'super_section': None}"
66,"Resting Nooks are offered on a first-come, first-served basis.
If you leave the nook for more than 15 minutes, it becomes available for someone else to use.
To give everyone a chance to use this space, please limit your time in a nook to 3 hours.
Please eat and drink outside of the Resting Nook area. This helps ensure the space is free of scents or odors.
This is a quiet space, so volume levels for noise machines, music, and voices should be kept at the lowest level.
Keep personal items with you at all times.
When you leave the nook, please clean your space. Several dirty linen bins are in the hallways. Place used sheets, blankets, or pillows in the correct bins.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/resting-nooks.html', 'retrieved_at': '2025-09-29T19:06:54.759251', 'title': 'Resting Nooks - St. Jude Children’s Research Hospital', 'section': 'What you need to know about Resting Nooks', 'super_section': None}"
67,"Imagine Academy by Chili’s provides a place for kids to focus on schoolwork, learn, and connect with others. The space includes:
An accredited preschool program
A library
A working lab where students can perform experiments withSt. Judescientists and staff
As part of the health care team, the School Program provides opportunities for students to continue their normal educational experiences. The program also helps students get appropriate educational services in their community schools.
Imagine Academy provides:
Hospital bound services
Homebound educational services
School reintegration services
Advocacy services
Learn more:St. JudeSchool Program","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/school-program.html', 'retrieved_at': '2025-09-29T19:06:55.154629', 'title': 'School Program - St. Jude Children’s Research Hospital', 'section': 'School Program - St. Jude Children’s Research Hospital', 'super_section': None}"
68,"Phone: 901-595-3346
Email:schooladministration@stjude.org","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/school-program.html', 'retrieved_at': '2025-09-29T19:06:55.154629', 'title': 'School Program - St. Jude Children’s Research Hospital', 'section': 'Contact the School Program', 'super_section': None}"
